iter (20240818_152109),psnr
iter (20240818_152608),psnr
1000,19.052561948793592
2000,19.71007756982476
3000,20.35734811548663
4000,19.587752683180764
5000,20.767174728106355
6000,20.7411834241326
7000,20.35490750815028
8000,21.181060789457117
9000,20.84618274563601
10000,20.681585703860595
11000,21.069783201306468
12000,21.215482769577807
13000,20.782139052715916
14000,21.355945024132705
15000,21.470107671301875
16000,21.214503276239455
17000,21.129862660938873
18000,20.738651521153407
19000,20.819915946175875
20000,21.609414464746674
21000,21.43337510568069
22000,21.598888507870203
23000,21.761212255602448
24000,20.860447072323232
25000,21.477869452900666
26000,21.546415253347323
27000,21.959596363165726
28000,21.09210384271618
29000,21.613608866982574
30000,21.706128074605314
31000,21.501145058262175
32000,21.90387991078936
33000,21.722190722491735
34000,21.621010022356906
35000,21.164418369882647
36000,21.03460514072721
37000,21.481263114755436
38000,21.53075516503217
39000,21.798486611082726
40000,21.480153504606154
41000,20.720522857256817
